name,date,region,category,notes
New Year's Day,2018-01-01,NYC,US Federal,
Martin Luther King Jr. Day,2018-01-15,NYC,US Federal,
Presidents' Day,2018-02-19,NYC,US Federal,
Memorial Day,2018-05-28,NYC,US Federal,
Independence Day,2018-07-04,NYC,US Federal,
Labor Day,2018-09-03,NYC,US Federal,
Columbus Day,2018-10-08,NYC,US Federal,
Veterans Day,2018-11-12,NYC,US Federal,Sunday November 11 (observed Monday November 12)
Thanksgiving Day,2018-11-22,NYC,US Federal,
Christmas Day,2018-12-25,NYC,US Federal,
